isBuyOrder,currencyCode,amount,price,executedAt,currencyCode0
0,KRW,20000.00,943.34,"2025-02-05 07:31:38",JPY
0,KRW,20000.00,943.21,"2025-02-05 07:49:34",JPY
1,JPY,20000.00,943.73,"2025-02-05 07:51:30",JPY
1,JPY,11317.00,943.73,"2025-02-05 07:51:56",JPY
0,KRW,940.00,1445.60,"2025-02-05 07:52:31",USD
1,JPY,8683.00,943.07,"2025-02-05 07:54:28",JPY
1,USD,819.00,1446.00,"2025-02-05 08:02:54",USD
1,USD,121.00,1445.80,"2025-02-05 08:03:44",USD
0,KRW,20000.00,943.19,"2025-02-05 08:17:29",JPY
0,KRW,729.00,1446.50,"2025-02-05 08:19:42",USD
1,USD,729.00,1446.80,"2025-02-05 08:36:10",USD
0,KRW,15000.00,944.11,"2025-02-05 08:37:33",JPY
0,KRW,590.00,944.11,"2025-02-05 08:37:50",JPY
1,JPY,15586.00,945.17,"2025-02-05 08:41:00",JPY
1,JPY,12032.00,945.17,"2025-02-05 08:41:00",JPY
1,JPY,7968.00,945.88,"2025-02-05 08:46:11",JPY
1,JPY,10000.00,945.72,"2025-02-05 09:44:48",JPY
1,JPY,10000.00,946.06,"2025-02-05 09:46:49",JPY
0,KRW,760.00,1445.70,"2025-02-05 10:53:30",USD
0,KRW,813.00,1445.79,"2025-02-05 10:53:35",USD
1,JPY,24046.00,945.16,"2025-02-05 12:16:05",JPY
1,JPY,23192.00,945.16,"2025-02-05 12:16:05",JPY
1,USD,500.00,1445.00,"2025-02-05 12:19:08",USD
1,JPY,19217.00,945.40,"2025-02-05 12:26:12",JPY
0,KRW,969.00,1445.30,"2025-02-05 12:30:18",USD
0,KRW,785.00,1445.20,"2025-02-05 12:33:34",USD
1,USD,867.00,1445.80,"2025-02-05 12:41:30",USD
1,USD,102.00,1446.70,"2025-02-05 13:02:39",USD
1,USD,785.00,1446.70,"2025-02-05 13:04:50",USD
1,JPY,10000.00,946.60,"2025-02-05 13:07:43",JPY
1,USD,733.00,1448.10,"2025-02-05 13:29:42",USD
1,USD,840.00,1448.00,"2025-02-05 13:29:49",USD
