,currencyCode,basePrice,createdAt
5292,USD,1458.3,2025-02-01 13:12:16
5293,JPY,939.6,2025-02-01 13:12:16
5334,USD,1458.3,2025-02-01 13:14:09
5335,JPY,939.6,2025-02-01 13:14:09
5376,USD,1458.3,2025-02-01 13:16:10
5377,JPY,939.6,2025-02-01 13:16:10
5418,USD,1458.3,2025-02-01 13:18:09
5419,JPY,939.6,2025-02-01 13:18:09
5460,USD,1458.3,2025-02-01 13:20:09
5461,JPY,939.6,2025-02-01 13:20:09
5502,USD,1458.3,2025-02-01 13:22:10
5503,JPY,939.6,2025-02-01 13:22:10
5544,USD,1458.3,2025-02-01 13:24:09
5545,JPY,939.6,2025-02-01 13:24:09
5586,USD,1458.3,2025-02-01 13:26:09
5587,JPY,939.6,2025-02-01 13:26:09
5628,USD,1458.3,2025-02-01 13:28:09
5629,JPY,939.6,2025-02-01 13:28:09
5670,USD,1458.3,2025-02-01 13:30:09
5671,JPY,939.6,2025-02-01 13:30:09
5712,USD,1458.3,2025-02-01 13:32:11
5713,JPY,939.6,2025-02-01 13:32:11
5754,USD,1458.3,2025-02-01 13:34:09
5755,JPY,939.6,2025-02-01 13:34:09
5796,USD,1458.3,2025-02-01 13:36:09
5797,JPY,939.6,2025-02-01 13:36:09
5838,USD,1458.3,2025-02-01 13:38:09
5839,JPY,939.6,2025-02-01 13:38:09
5880,USD,1458.3,2025-02-01 13:40:09
5881,JPY,939.6,2025-02-01 13:40:09
5922,USD,1458.3,2025-02-01 13:42:09
5923,JPY,939.6,2025-02-01 13:42:09
5964,USD,1458.3,2025-02-01 13:44:09
5965,JPY,939.6,2025-02-01 13:44:09
6006,USD,1458.3,2025-02-01 13:46:11
6007,JPY,939.6,2025-02-01 13:46:11
6048,USD,1458.3,2025-02-01 13:48:09
6049,JPY,939.6,2025-02-01 13:48:09
6090,USD,1458.3,2025-02-01 13:50:10
6091,JPY,939.6,2025-02-01 13:50:10
6132,USD,1458.3,2025-02-01 13:52:10
6133,JPY,939.6,2025-02-01 13:52:10
6174,USD,1458.3,2025-02-01 13:54:09
6175,JPY,939.6,2025-02-01 13:54:09
6216,USD,1458.3,2025-02-01 13:56:09
6217,JPY,939.6,2025-02-01 13:56:09
6258,USD,1458.3,2025-02-01 13:58:14
6259,JPY,939.6,2025-02-01 13:58:14
6300,USD,1458.3,2025-02-01 14:00:10
6301,JPY,939.6,2025-02-01 14:00:10
6342,USD,1458.3,2025-02-01 14:02:11
6343,JPY,939.6,2025-02-01 14:02:11
6384,USD,1458.3,2025-02-01 14:04:09
6385,JPY,939.6,2025-02-01 14:04:09
6426,USD,1458.3,2025-02-01 14:06:10
6427,JPY,939.6,2025-02-01 14:06:10
6468,USD,1458.3,2025-02-01 14:08:09
6469,JPY,939.6,2025-02-01 14:08:09
6510,USD,1458.3,2025-02-01 14:10:10
6511,JPY,939.6,2025-02-01 14:10:10
6552,USD,1458.3,2025-02-01 14:12:09
6553,JPY,939.6,2025-02-01 14:12:09
6594,USD,1458.3,2025-02-01 14:14:10
6595,JPY,939.6,2025-02-01 14:14:10
6636,USD,1458.3,2025-02-01 14:16:11
6637,JPY,939.6,2025-02-01 14:16:11
6678,USD,1458.3,2025-02-01 14:18:09
6679,JPY,939.6,2025-02-01 14:18:09
6720,USD,1458.3,2025-02-01 14:20:10
6721,JPY,939.6,2025-02-01 14:20:10
6762,USD,1458.3,2025-02-01 14:22:12
6763,JPY,939.6,2025-02-01 14:22:12
6804,USD,1458.3,2025-02-01 14:24:10
6805,JPY,939.6,2025-02-01 14:24:10
6846,USD,1458.3,2025-02-01 14:26:10
6847,JPY,939.6,2025-02-01 14:26:10
6888,USD,1458.3,2025-02-01 14:28:16
6889,JPY,939.6,2025-02-01 14:28:16
6930,USD,1458.3,2025-02-01 14:30:09
6931,JPY,939.6,2025-02-01 14:30:09
6972,USD,1458.3,2025-02-01 14:32:09
6973,JPY,939.6,2025-02-01 14:32:09
7014,USD,1458.3,2025-02-01 14:34:09
7015,JPY,939.6,2025-02-01 14:34:09
7056,USD,1458.3,2025-02-01 14:36:11
7057,JPY,939.6,2025-02-01 14:36:11
7098,USD,1458.3,2025-02-01 14:38:10
7099,JPY,939.6,2025-02-01 14:38:10
7140,USD,1458.3,2025-02-01 14:40:08
7141,JPY,939.6,2025-02-01 14:40:08
7182,USD,1458.3,2025-02-01 14:42:09
7183,JPY,939.6,2025-02-01 14:42:09
7224,USD,1458.3,2025-02-01 14:44:09
7225,JPY,939.6,2025-02-01 14:44:09
7266,USD,1458.3,2025-02-01 14:46:09
7267,JPY,939.6,2025-02-01 14:46:09
7308,USD,1458.3,2025-02-01 14:48:11
7309,JPY,939.6,2025-02-01 14:48:11
7350,USD,1458.3,2025-02-01 14:50:11
7351,JPY,939.6,2025-02-01 14:50:11
7392,USD,1458.3,2025-02-01 14:52:08
7393,JPY,939.6,2025-02-01 14:52:08
7434,USD,1458.3,2025-02-01 14:54:08
7435,JPY,939.6,2025-02-01 14:54:08
7476,USD,1458.3,2025-02-01 14:56:09
7477,JPY,939.6,2025-02-01 14:56:09
7518,USD,1458.3,2025-02-01 14:58:08
7519,JPY,939.6,2025-02-01 14:58:08
7560,USD,1458.3,2025-02-01 15:00:10
7561,JPY,939.6,2025-02-01 15:00:10
7602,USD,1458.3,2025-02-01 15:02:09
7603,JPY,939.6,2025-02-01 15:02:09
7644,USD,1458.3,2025-02-01 15:04:08
7645,JPY,939.6,2025-02-01 15:04:08
7686,USD,1458.3,2025-02-01 15:06:08
7687,JPY,939.6,2025-02-01 15:06:08
7728,USD,1458.3,2025-02-01 15:08:08
7729,JPY,939.6,2025-02-01 15:08:08
7770,USD,1458.3,2025-02-01 15:10:16
7771,JPY,939.6,2025-02-01 15:10:16
7812,USD,1458.3,2025-02-01 15:12:09
7813,JPY,939.6,2025-02-01 15:12:09
7854,USD,1458.3,2025-02-01 15:14:09
7855,JPY,939.6,2025-02-01 15:14:09
7896,USD,1458.3,2025-02-01 15:16:08
7897,JPY,939.6,2025-02-01 15:16:08
7938,USD,1458.3,2025-02-01 15:18:09
7939,JPY,939.6,2025-02-01 15:18:09
7980,USD,1458.3,2025-02-01 15:20:10
7981,JPY,939.6,2025-02-01 15:20:10
8022,USD,1458.3,2025-02-01 15:22:08
8023,JPY,939.6,2025-02-01 15:22:08
8064,USD,1458.3,2025-02-01 15:24:13
8065,JPY,939.6,2025-02-01 15:24:13
8106,USD,1458.3,2025-02-01 15:26:09
8107,JPY,939.6,2025-02-01 15:26:09
8148,USD,1458.3,2025-02-01 15:28:08
8149,JPY,939.6,2025-02-01 15:28:08
8190,USD,1458.3,2025-02-01 15:30:10
8191,JPY,939.6,2025-02-01 15:30:10
8232,USD,1458.3,2025-02-01 15:32:10
8233,JPY,939.6,2025-02-01 15:32:10
8274,USD,1458.3,2025-02-01 15:34:11
8275,JPY,939.6,2025-02-01 15:34:11
8316,USD,1458.3,2025-02-01 15:36:10
8317,JPY,939.6,2025-02-01 15:36:10
8358,USD,1458.3,2025-02-01 15:38:09
8359,JPY,939.6,2025-02-01 15:38:09
8400,USD,1458.3,2025-02-01 15:40:09
8401,JPY,939.6,2025-02-01 15:40:09
8442,USD,1458.3,2025-02-01 15:42:09
8443,JPY,939.6,2025-02-01 15:42:09
8484,USD,1458.3,2025-02-01 15:44:09
8485,JPY,939.6,2025-02-01 15:44:09
8526,USD,1458.3,2025-02-01 15:46:09
8527,JPY,939.6,2025-02-01 15:46:09
8568,USD,1458.3,2025-02-01 15:48:09
8569,JPY,939.6,2025-02-01 15:48:09
8610,USD,1458.3,2025-02-01 15:50:10
8611,JPY,939.6,2025-02-01 15:50:10
8652,USD,1458.3,2025-02-01 15:52:09
8653,JPY,939.6,2025-02-01 15:52:09
8694,USD,1458.3,2025-02-01 15:54:09
8695,JPY,939.6,2025-02-01 15:54:09
8736,USD,1458.3,2025-02-01 15:56:09
8737,JPY,939.6,2025-02-01 15:56:09
8778,USD,1458.3,2025-02-01 15:58:11
8779,JPY,939.6,2025-02-01 15:58:11
8820,USD,1458.3,2025-02-01 16:00:09
8821,JPY,939.6,2025-02-01 16:00:09
8862,USD,1458.3,2025-02-01 16:02:11
8863,JPY,939.6,2025-02-01 16:02:11
8904,USD,1458.3,2025-02-01 16:04:10
8905,JPY,939.6,2025-02-01 16:04:10
8946,USD,1458.3,2025-02-01 16:06:08
8947,JPY,939.6,2025-02-01 16:06:08
8988,USD,1458.3,2025-02-01 16:08:10
8989,JPY,939.6,2025-02-01 16:08:10
9030,USD,1458.3,2025-02-01 16:10:10
9031,JPY,939.6,2025-02-01 16:10:10
9072,USD,1458.3,2025-02-01 16:12:10
9073,JPY,939.6,2025-02-01 16:12:10
9114,USD,1458.3,2025-02-01 16:14:09
9115,JPY,939.6,2025-02-01 16:14:09
9156,USD,1458.3,2025-02-01 16:16:11
9157,JPY,939.6,2025-02-01 16:16:11
9198,USD,1458.3,2025-02-01 16:18:09
9199,JPY,939.6,2025-02-01 16:18:09
9240,USD,1458.3,2025-02-01 16:20:10
9241,JPY,939.6,2025-02-01 16:20:10
9282,USD,1458.3,2025-02-01 16:22:11
9283,JPY,939.6,2025-02-01 16:22:11
9324,USD,1458.3,2025-02-01 16:24:09
9325,JPY,939.6,2025-02-01 16:24:09
9366,USD,1458.3,2025-02-01 16:26:08
9367,JPY,939.6,2025-02-01 16:26:08
9408,USD,1458.3,2025-02-01 16:28:08
9409,JPY,939.6,2025-02-01 16:28:08
9450,USD,1458.3,2025-02-01 16:30:09
9451,JPY,939.6,2025-02-01 16:30:09
9492,USD,1458.3,2025-02-01 16:32:09
9493,JPY,939.6,2025-02-01 16:32:09
9534,USD,1458.3,2025-02-01 16:34:09
9535,JPY,939.6,2025-02-01 16:34:09
9576,USD,1458.3,2025-02-01 16:36:16
9577,JPY,939.6,2025-02-01 16:36:16
9618,USD,1458.3,2025-02-01 16:38:10
9619,JPY,939.6,2025-02-01 16:38:10
9660,USD,1458.3,2025-02-01 16:40:10
9661,JPY,939.6,2025-02-01 16:40:10
9702,USD,1458.3,2025-02-01 16:42:13
9703,JPY,939.6,2025-02-01 16:42:13
9744,USD,1458.3,2025-02-01 16:44:13
9745,JPY,939.6,2025-02-01 16:44:13
9786,USD,1458.3,2025-02-01 16:46:09
9787,JPY,939.6,2025-02-01 16:46:09
9828,USD,1458.3,2025-02-01 16:48:11
9829,JPY,939.6,2025-02-01 16:48:11
9870,USD,1458.3,2025-02-01 16:50:09
9871,JPY,939.6,2025-02-01 16:50:09
9912,USD,1458.3,2025-02-01 16:52:08
9913,JPY,939.6,2025-02-01 16:52:08
9954,USD,1458.3,2025-02-01 16:54:09
9955,JPY,939.6,2025-02-01 16:54:09
9996,USD,1458.3,2025-02-01 16:56:10
9997,JPY,939.6,2025-02-01 16:56:10
10038,USD,1458.3,2025-02-01 16:58:10
10039,JPY,939.6,2025-02-01 16:58:10
10080,USD,1458.3,2025-02-01 17:00:09
10081,JPY,939.6,2025-02-01 17:00:09
10122,USD,1458.3,2025-02-01 17:02:09
10123,JPY,939.6,2025-02-01 17:02:09
10164,USD,1458.3,2025-02-01 17:04:09
10165,JPY,939.6,2025-02-01 17:04:09
10206,USD,1458.3,2025-02-01 17:06:10
10207,JPY,939.6,2025-02-01 17:06:10
10248,USD,1458.3,2025-02-01 17:08:09
10249,JPY,939.6,2025-02-01 17:08:09
10290,USD,1458.3,2025-02-01 17:10:09
10291,JPY,939.6,2025-02-01 17:10:09
10332,USD,1458.3,2025-02-01 17:12:13
10333,JPY,939.6,2025-02-01 17:12:13
10374,USD,1458.3,2025-02-01 17:14:10
10375,JPY,939.6,2025-02-01 17:14:10
10416,USD,1458.3,2025-02-01 17:16:09
10417,JPY,939.6,2025-02-01 17:16:09
10458,USD,1458.3,2025-02-01 17:18:09
10459,JPY,939.6,2025-02-01 17:18:09
10500,USD,1458.3,2025-02-01 17:20:09
10501,JPY,939.6,2025-02-01 17:20:09
10542,USD,1458.3,2025-02-01 17:22:09
10543,JPY,939.6,2025-02-01 17:22:09
10584,USD,1458.3,2025-02-01 17:24:10
10585,JPY,939.6,2025-02-01 17:24:10
10626,USD,1458.3,2025-02-01 17:26:09
10627,JPY,939.6,2025-02-01 17:26:09
10668,USD,1458.3,2025-02-01 17:28:09
10669,JPY,939.6,2025-02-01 17:28:09
10710,USD,1458.3,2025-02-01 17:30:09
10711,JPY,939.6,2025-02-01 17:30:09
10752,USD,1458.3,2025-02-01 17:32:09
10753,JPY,939.6,2025-02-01 17:32:09
10794,USD,1458.3,2025-02-01 17:34:09
10795,JPY,939.6,2025-02-01 17:34:09
10836,USD,1458.3,2025-02-01 17:36:09
10837,JPY,939.6,2025-02-01 17:36:09
10878,USD,1458.3,2025-02-01 17:38:09
10879,JPY,939.6,2025-02-01 17:38:09
10920,USD,1458.3,2025-02-01 17:40:09
10921,JPY,939.6,2025-02-01 17:40:09
10962,USD,1458.3,2025-02-01 17:42:09
10963,JPY,939.6,2025-02-01 17:42:09
11004,USD,1458.3,2025-02-01 17:44:16
11005,JPY,939.6,2025-02-01 17:44:16
11046,USD,1458.3,2025-02-01 17:46:10
11047,JPY,939.6,2025-02-01 17:46:10
11088,USD,1458.3,2025-02-01 17:48:13
11089,JPY,939.6,2025-02-01 17:48:13
11130,USD,1458.3,2025-02-01 17:50:09
11131,JPY,939.6,2025-02-01 17:50:09
11172,USD,1458.3,2025-02-01 17:52:13
11173,JPY,939.6,2025-02-01 17:52:13
11214,USD,1458.3,2025-02-01 17:54:09
11215,JPY,939.6,2025-02-01 17:54:09
11256,USD,1458.3,2025-02-01 17:56:09
11257,JPY,939.6,2025-02-01 17:56:09
11298,USD,1458.3,2025-02-01 17:58:09
11299,JPY,939.6,2025-02-01 17:58:09
11340,USD,1458.3,2025-02-01 18:00:09
11341,JPY,939.6,2025-02-01 18:00:09
11382,USD,1458.3,2025-02-01 18:02:11
11383,JPY,939.6,2025-02-01 18:02:11
11424,USD,1458.3,2025-02-01 18:04:08
11425,JPY,939.6,2025-02-01 18:04:08
11466,USD,1458.3,2025-02-01 18:06:09
11467,JPY,939.6,2025-02-01 18:06:09
11508,USD,1458.3,2025-02-01 18:08:09
11509,JPY,939.6,2025-02-01 18:08:09
11550,USD,1458.3,2025-02-01 18:10:10
11551,JPY,939.6,2025-02-01 18:10:10
11592,USD,1458.3,2025-02-01 18:12:10
11593,JPY,939.6,2025-02-01 18:12:10
11634,USD,1458.3,2025-02-01 18:14:09
11635,JPY,939.6,2025-02-01 18:14:09
11676,USD,1458.3,2025-02-01 18:16:08
11677,JPY,939.6,2025-02-01 18:16:08
11718,USD,1458.3,2025-02-01 18:18:11
11719,JPY,939.6,2025-02-01 18:18:11
11760,USD,1458.3,2025-02-01 18:20:08
11761,JPY,939.6,2025-02-01 18:20:08
11802,USD,1458.3,2025-02-01 18:22:08
11803,JPY,939.6,2025-02-01 18:22:08
11844,USD,1458.3,2025-02-01 18:24:13
11845,JPY,939.6,2025-02-01 18:24:13
11886,USD,1458.3,2025-02-01 18:26:08
11887,JPY,939.6,2025-02-01 18:26:08
11928,USD,1458.3,2025-02-01 18:28:11
11929,JPY,939.6,2025-02-01 18:28:11
11970,USD,1458.3,2025-02-01 18:30:12
11971,JPY,939.6,2025-02-01 18:30:12
12012,USD,1458.3,2025-02-01 18:32:09
12013,JPY,939.6,2025-02-01 18:32:09
12054,USD,1458.3,2025-02-01 18:34:09
12055,JPY,939.6,2025-02-01 18:34:09
12096,USD,1458.3,2025-02-01 18:36:08
12097,JPY,939.6,2025-02-01 18:36:08
12138,USD,1458.3,2025-02-01 18:38:10
12139,JPY,939.6,2025-02-01 18:38:10
12180,USD,1458.3,2025-02-01 18:40:09
12181,JPY,939.6,2025-02-01 18:40:09
