2025-02-24 15:13:12,275 - INFO - 매수 수익: 0.0, 매도 수익: 131920.0
2025-02-24 15:13:13,596 - INFO - 조건: (date_window: 4, adjustment: 1.0)
2025-02-24 15:13:13,596 - INFO - 매수 거래량: 26013.0, 매도 거래량: 21404.0
2025-02-24 15:13:13,596 - INFO - 매수 수익: 26013.0, 매도 수익: 21404.0
2025-02-24 15:13:14,778 - INFO - 조건: (date_window: 4, adjustment: 2.0)
2025-02-24 15:13:14,778 - INFO - 매수 거래량: 25513.0, 매도 거래량: 21404.0
2025-02-24 15:13:14,778 - INFO - 매수 수익: 51026.0, 매도 수익: 42808.0
2025-02-24 15:13:15,798 - INFO - 조건: (date_window: 4, adjustment: 3.0)
2025-02-24 15:13:15,798 - INFO - 매수 거래량: 20869.0, 매도 거래량: 21404.0
2025-02-24 15:13:15,798 - INFO - 매수 수익: 62607.0, 매도 수익: 64212.0
2025-02-24 15:13:16,699 - INFO - 조건: (date_window: 4, adjustment: 4.0)
2025-02-24 15:13:16,699 - INFO - 매수 거래량: 17027.0, 매도 거래량: 21404.0
2025-02-24 15:13:16,699 - INFO - 매수 수익: 68108.0, 매도 수익: 85616.0
2025-02-24 15:13:17,511 - INFO - 조건: (date_window: 4, adjustment: 5.0)
2025-02-24 15:13:17,512 - INFO - 매수 거래량: 12390.0, 매도 거래량: 20662.0
2025-02-24 15:13:17,512 - INFO - 매수 수익: 61950.0, 매도 수익: 103310.0
2025-02-24 15:13:18,268 - INFO - 조건: (date_window: 4, adjustment: 6.0)
2025-02-24 15:13:18,268 - INFO - 매수 거래량: 4890.0, 매도 거래량: 18592.0
2025-02-24 15:13:18,268 - INFO - 매수 수익: 29340.0, 매도 수익: 111552.0
2025-02-24 15:13:24,725 - INFO - 시뮬레이션 버튼 클릭
2025-02-24 15:13:24,746 - INFO - 데이터 필터링 완료
2025-02-24 15:13:39,471 - INFO - 조건: (date_window: 1, adjustment: 1.0)
2025-02-24 15:13:39,471 - INFO - 매수 거래량: 78217.0, 매도 거래량: 70912.0
2025-02-24 15:13:39,471 - INFO - 매수 수익: 78217.0, 매도 수익: 70912.0
2025-02-24 15:13:40,697 - INFO - 조건: (date_window: 1, adjustment: 2.0)
2025-02-24 15:13:40,697 - INFO - 매수 거래량: 71059.0, 매도 거래량: 65200.0
2025-02-24 15:13:40,697 - INFO - 매수 수익: 142118.0, 매도 수익: 130400.0
2025-02-24 15:13:41,657 - INFO - 조건: (date_window: 1, adjustment: 3.0)
2025-02-24 15:13:41,657 - INFO - 매수 거래량: 63384.0, 매도 거래량: 51707.0
2025-02-24 15:13:41,657 - INFO - 매수 수익: 190152.0, 매도 수익: 155121.0
2025-02-24 15:13:42,413 - INFO - 조건: (date_window: 1, adjustment: 4.0)
2025-02-24 15:13:42,413 - INFO - 매수 거래량: 55203.0, 매도 거래량: 41160.0
2025-02-24 15:13:42,413 - INFO - 매수 수익: 220812.0, 매도 수익: 164640.0
2025-02-24 15:13:43,041 - INFO - 조건: (date_window: 1, adjustment: 5.0)
2025-02-24 15:13:43,041 - INFO - 매수 거래량: 39855.0, 매도 거래량: 29355.0
2025-02-24 15:13:43,041 - INFO - 매수 수익: 199275.0, 매도 수익: 146775.0
2025-02-24 15:13:43,565 - INFO - 조건: (date_window: 1, adjustment: 6.0)
2025-02-24 15:13:43,565 - INFO - 매수 거래량: 31167.0, 매도 거래량: 23175.0
2025-02-24 15:13:43,565 - INFO - 매수 수익: 187002.0, 매도 수익: 139050.0
2025-02-24 15:13:44,037 - INFO - 조건: (date_window: 1, adjustment: 7.0)
2025-02-24 15:13:44,037 - INFO - 매수 거래량: 27268.0, 매도 거래량: 18945.0
2025-02-24 15:13:44,037 - INFO - 매수 수익: 190876.0, 매도 수익: 132615.0
2025-02-24 15:13:44,445 - INFO - 조건: (date_window: 1, adjustment: 8.0)
2025-02-24 15:13:44,445 - INFO - 매수 거래량: 22518.0, 매도 거래량: 13239.0
2025-02-24 15:13:44,445 - INFO - 매수 수익: 180144.0, 매도 수익: 105912.0
2025-02-24 15:13:44,812 - INFO - 조건: (date_window: 1, adjustment: 9.0)
2025-02-24 15:13:44,812 - INFO - 매수 거래량: 19020.0, 매도 거래량: 11028.0
2025-02-24 15:13:44,812 - INFO - 매수 수익: 171180.0, 매도 수익: 99252.0
2025-02-24 15:13:45,120 - INFO - 조건: (date_window: 1, adjustment: 10.0)
2025-02-24 15:13:45,120 - INFO - 매수 거래량: 16595.0, 매도 거래량: 11028.0
2025-02-24 15:13:45,120 - INFO - 매수 수익: 165950.0, 매도 수익: 110280.0
2025-02-24 15:13:48,104 - INFO - 조건: (date_window: 2, adjustment: 1.0)
2025-02-24 15:13:48,105 - INFO - 매수 거래량: 82762.0, 매도 거래량: 72307.0
2025-02-24 15:13:48,105 - INFO - 매수 수익: 82762.0, 매도 수익: 72307.0
2025-02-24 15:13:50,504 - INFO - 조건: (date_window: 2, adjustment: 2.0)
2025-02-24 15:13:50,504 - INFO - 매수 거래량: 77574.0, 매도 거래량: 66595.0
2025-02-24 15:13:50,504 - INFO - 매수 수익: 155148.0, 매도 수익: 133190.0
2025-02-24 15:13:52,469 - INFO - 조건: (date_window: 2, adjustment: 3.0)
2025-02-24 15:13:52,469 - INFO - 매수 거래량: 72930.0, 매도 거래량: 54785.0
2025-02-24 15:13:52,469 - INFO - 매수 수익: 218790.0, 매도 수익: 164355.0
2025-02-24 15:13:54,059 - INFO - 조건: (date_window: 2, adjustment: 4.0)
2025-02-24 15:13:54,059 - INFO - 매수 거래량: 65784.0, 매도 거래량: 48146.0
2025-02-24 15:13:54,059 - INFO - 매수 수익: 263136.0, 매도 수익: 192584.0
2025-02-24 15:13:55,398 - INFO - 조건: (date_window: 2, adjustment: 5.0)
2025-02-24 15:13:55,398 - INFO - 매수 거래량: 56411.0, 매도 거래량: 35719.0
2025-02-24 15:13:55,398 - INFO - 매수 수익: 282055.0, 매도 수익: 178595.0
2025-02-24 15:13:56,523 - INFO - 조건: (date_window: 2, adjustment: 6.0)
2025-02-24 15:13:56,523 - INFO - 매수 거래량: 47095.0, 매도 거래량: 27705.0
2025-02-24 15:13:56,523 - INFO - 매수 수익: 282570.0, 매도 수익: 166230.0
2025-02-24 15:13:57,473 - INFO - 조건: (date_window: 2, adjustment: 7.0)
2025-02-24 15:13:57,473 - INFO - 매수 거래량: 40100.0, 매도 거래량: 22425.0
2025-02-24 15:13:57,473 - INFO - 매수 수익: 280700.0, 매도 수익: 156975.0
2025-02-24 15:13:58,310 - INFO - 조건: (date_window: 2, adjustment: 8.0)
2025-02-24 15:13:58,310 - INFO - 매수 거래량: 31670.0, 매도 거래량: 16016.0
2025-02-24 15:13:58,310 - INFO - 매수 수익: 253360.0, 매도 수익: 128128.0
2025-02-24 15:13:59,056 - INFO - 조건: (date_window: 2, adjustment: 9.0)
2025-02-24 15:13:59,056 - INFO - 매수 거래량: 25572.0, 매도 거래량: 14208.0
2025-02-24 15:13:59,056 - INFO - 매수 수익: 230148.0, 매도 수익: 127872.0
2025-02-24 15:13:59,734 - INFO - 조건: (date_window: 2, adjustment: 10.0)
2025-02-24 15:13:59,734 - INFO - 매수 거래량: 19606.0, 매도 거래량: 11785.0
2025-02-24 15:13:59,734 - INFO - 매수 수익: 196060.0, 매도 수익: 117850.0
2025-02-24 15:14:04,161 - INFO - 조건: (date_window: 3, adjustment: 1.0)
2025-02-24 15:14:04,161 - INFO - 매수 거래량: 84249.0, 매도 거래량: 73021.0
2025-02-24 15:14:04,161 - INFO - 매수 수익: 84249.0, 매도 수익: 73021.0
2025-02-24 15:14:07,782 - INFO - 조건: (date_window: 3, adjustment: 2.0)
2025-02-24 15:14:07,782 - INFO - 매수 거래량: 80789.0, 매도 거래량: 68343.0
2025-02-24 15:14:07,782 - INFO - 매수 수익: 161578.0, 매도 수익: 136686.0
2025-02-24 15:14:10,845 - INFO - 조건: (date_window: 3, adjustment: 3.0)
2025-02-24 15:14:10,845 - INFO - 매수 거래량: 76145.0, 매도 거래량: 59000.0
2025-02-24 15:14:10,845 - INFO - 매수 수익: 228435.0, 매도 수익: 177000.0
2025-02-24 15:14:13,281 - INFO - 조건: (date_window: 3, adjustment: 4.0)
2025-02-24 15:14:13,281 - INFO - 매수 거래량: 69330.0, 매도 거래량: 55216.0
2025-02-24 15:14:13,281 - INFO - 매수 수익: 277320.0, 매도 수익: 220864.0
2025-02-24 15:14:15,260 - INFO - 조건: (date_window: 3, adjustment: 5.0)
2025-02-24 15:14:15,260 - INFO - 매수 거래량: 59396.0, 매도 거래량: 39566.0
2025-02-24 15:14:15,260 - INFO - 매수 수익: 296980.0, 매도 수익: 197830.0
2025-02-24 15:14:16,886 - INFO - 조건: (date_window: 3, adjustment: 6.0)
2025-02-24 15:14:16,886 - INFO - 매수 거래량: 50080.0, 매도 거래량: 32132.0
2025-02-24 15:14:16,886 - INFO - 매수 수익: 300480.0, 매도 수익: 192792.0
2025-02-24 15:14:18,268 - INFO - 조건: (date_window: 3, adjustment: 7.0)
